,dates
490,1982-04-12
491,1982-03-10
492,1982-02-10
493,1982-01-11
494,1981-12-10
495,1981-11-12
496,1981-10-09
497,1981-09-11
498,1981-08-12
499,1981-07-10
500,1981-06-10
501,1981-05-11
502,1981-04-09
503,1981-03-10
504,1981-02-11
505,1981-01-09
506,1980-12-10
507,1980-11-10
508,1980-10-10
509,1980-09-11
510,1980-08-11
511,1980-07-11
512,1980-06-11
513,1980-05-09
514,1980-04-10
515,1980-03-10
516,1980-02-11
517,1980-01-10
518,1979-12-11
519,1979-11-09
520,1979-10-12
521,1979-09-12
522,1979-08-10
523,1979-07-11
524,1979-06-11
525,1979-05-10
526,1979-04-10
527,1979-03-09
528,1979-02-09
529,1979-01-11
530,1978-12-08
531,1978-11-09
532,1978-10-11
533,1978-09-12
534,1978-08-10
535,1978-07-11
536,1978-06-09
537,1978-05-09
538,1978-04-07
539,1978-03-08
540,1978-02-08
541,1978-01-09
542,1977-12-09
543,1977-11-10
544,1977-10-12
545,1977-09-12
546,1977-08-11
547,1977-07-12
548,1977-06-08
549,1977-05-10
550,1977-04-08
551,1977-03-09
552,1977-02-09
553,1977-01-10
554,1976-12-10
555,1976-11-10
556,1976-10-12
557,1976-09-10
558,1976-08-12
559,1976-07-12
560,1976-06-09
561,1976-05-10
562,1976-04-09
563,1976-03-09
564,1976-02-10
565,1976-01-09
566,1975-12-10
567,1975-10-10
568,1975-09-11
569,1975-08-11
570,1975-07-10
571,1975-06-10
572,1975-05-09
573,1975-04-09
574,1975-03-11
575,1975-02-11
576,1975-01-10
577,1974-12-23
578,1974-12-10
579,1974-11-08
580,1974-07-11
581,1974-06-10
582,1974-05-08
583,1974-04-10
584,1974-03-08
585,1974-02-08
586,1974-01-22
587,1974-01-09
588,1973-12-10
589,1973-11-09
590,1973-10-12
591,1973-08-09
592,1973-07-10
593,1973-06-08
594,1973-05-10
595,1973-04-09
596,1973-03-09
597,1973-02-09
598,1973-01-19
599,1973-01-10
600,1972-12-22
601,1972-12-12
602,1972-11-09
603,1972-10-12
604,1972-08-10
605,1972-07-12
606,1972-06-09
607,1972-05-11
608,1972-04-10
609,1972-03-10
610,1972-02-09
611,1972-01-27
612,1972-01-10
613,1971-12-22
614,1971-10-12
615,1971-09-10
616,1971-06-10
617,1971-05-10
618,1971-04-09
619,1971-03-10
620,1971-02-10
621,1971-01-25
622,1971-01-08
623,1970-12-23
624,1970-11-10
625,1970-09-11
626,1970-08-11
627,1970-07-10
628,1970-06-10
629,1970-05-11
630,1970-04-10
631,1970-03-10
632,1970-02-10
633,1970-01-09
